Feature	Name	Rank	Ranking	Diff
PF04228.13	Zn_peptidase	4153	ACE	NA
EC2.7.1.220	D-erythronate 4-kinase	4154	ACE	NA
PF07739.13	TipAS	4155	ACE	NA
EC2.4.99.14	(Kdo)2-lipid IVA (2-8) 3-deoxy-D-manno-octulosonic acid transferase	4156	ACE	NA
PF02222.22	ATP-grasp	4157	ACE	NA
EC1.1.1.192	long-chain-alcohol dehydrogenase	4158	ACE	NA
PF02565.15	RecO_C	4159	ACE	NA
EC2.6.1.105	lysine---8-amino-7-oxononanoate transaminase	4160	ACE	NA
PF06441.12	EHN	4161	ACE	NA
EC1.11.2.4	fatty-acid peroxygenase	4162	ACE	NA
PF01036.18	Bac_rhodopsin	4163	ACE	NA
EC1.3.1.12	prephenate dehydrogenase	4164	ACE	NA
PF00627.31	UBA	4165	ACE	NA
EC1.1.1.350	ureidoglycolate dehydrogenase (NAD+)	4166	ACE	NA
PF18173.1	bacHORMA_2	4167	ACE	NA
EC4.1.99.14	spore photoproduct lyase	4168	ACE	NA
PF01955.18	CbiZ	4169	ACE	NA
EC4.1.1.33	diphosphomevalonate decarboxylase	4170	ACE	NA
PF12708.7	Pectate_lyase_3	4171	ACE	NA
EC1.3.1.106	cobalt-precorrin-6A reductase	4172	ACE	NA
PF01842.25	ACT	4173	ACE	NA
EC4.1.99.11	benzylsuccinate synthase	4174	ACE	NA
PF02152.18	FolB	4175	ACE	NA
EC3.1.3.89	5'-deoxynucleotidase	4176	ACE	NA
PF02657.15	SufE	4177	ACE	NA
EC6.3.4.22	tRNAIle2-agmatinylcytidine synthase	4178	ACE	NA
PF10604.9	Polyketide_cyc2	4179	ACE	NA
EC1.1.1.17	mannitol-1-phosphate 5-dehydrogenase	4180	ACE	NA
PF09587.10	PGA_cap	4181	ACE	NA
EC6.2.1.37	3-hydroxybenzoate---CoA ligase	4182	ACE	NA
PF14891.6	Peptidase_M91	4183	ACE	NA
EC3.5.3.26	(S)-ureidoglycine aminohydrolase	4184	ACE	NA
PF06056.12	Terminase_5	4185	ACE	NA
EC3.1.21.5	type III site-specific deoxyribonuclease	4186	ACE	NA
PF03947.18	Ribosomal_L2_C	4187	ACE	NA
EC1.14.14.8	anthranilate 3-monooxygenase (FAD)	4188	ACE	NA
PF07683.14	CobW_C	4189	ACE	NA
EC2.1.1.114	polyprenyldihydroxybenzoate methyltransferase	4190	ACE	NA
PF05190.18	MutS_IV	4191	ACE	NA
EC1.2.1.32	aminomuconate-semialdehyde dehydrogenase	4192	ACE	NA
PF02543.15	Carbam_trans_N	4193	ACE	NA
EC3.5.1.115	mycothiol S-conjugate amidase	4194	ACE	NA
PF01764.25	Lipase_3	4195	ACE	NA
EC4.1.3.43	4-hydroxy-2-oxohexanoate aldolase	4196	ACE	NA
PF02673.18	BacA	4197	ACE	NA
EC2.3.3.10	hydroxymethylglutaryl-CoA synthase	4198	ACE	NA
PF10396.9	TrmE_N	4199	ACE	NA
EC1.13.11.55	sulfur oxygenase/reductase	4200	ACE	NA
EC2.7.1.22	ribosylnicotinamide kinase	4201	ACE	NA
PF14681.6	UPRTase	4202	ACE	NA
PF11168.8	DUF2955	4203	ACE	NA
EC2.1.1.227	16S rRNA (cytidine1409-2'-O)-methyltransferase	4204	ACE	NA
PF03934.13	T2SSK	4205	ACE	NA
EC2.6.1.82	putrescine---2-oxoglutarate transaminase	4206	ACE	NA
PF03215.15	Rad17	4207	ACE	NA
EC5.3.1.8	mannose-6-phosphate isomerase	4208	ACE	NA
PF09362.10	DUF1996	4209	ACE	NA
EC2.7.7.94	4-hydroxyphenylalkanoate adenylyltransferase FadD29	4210	ACE	NA
PF00830.19	Ribosomal_L28	4211	ACE	NA
EC1.1.98.2	glucose-6-phosphate dehydrogenase (coenzyme-F420)	4212	ACE	NA
PF06074.12	DUF935	4213	ACE	NA
EC1.2.1.87	propanal dehydrogenase (CoA-propanoylating)	4214	ACE	NA
PF00561.20	Abhydrolase_1	4215	ACE	NA
EC2.7.11.30	receptor protein serine/threonine kinase	4216	ACE	NA
PF14338.6	Mrr_N	4217	ACE	NA
EC5.4.99.26	tRNA pseudouridine65 synthase	4218	ACE	NA
PF00773.19	RNB	4219	ACE	NA
EC4.4.1.16	selenocysteine lyase	4220	ACE	NA
PF03796.15	DnaB_C	4221	ACE	NA
EC2.7.14.1	protein arginine kinase	4222	ACE	NA
PF03927.13	NapD	4223	ACE	NA
EC2.1.1.178	16S rRNA (cytosine1407-C5)-methyltransferase	4224	ACE	NA
PF10136.9	SpecificRecomb	4225	ACE	NA
EC3.4.24.78	gpr endopeptidase	4226	ACE	NA
PF02544.16	Steroid_dh	4227	ACE	NA
EC3.1.1.99	6-deoxy-6-sulfogluconolactonase	4228	ACE	NA
PF06114.13	Peptidase_M78	4229	ACE	NA
EC3.2.1.60	glucan 1,4-alpha-maltotetraohydrolase	4230	ACE	NA
PF09992.9	NAGPA	4231	ACE	NA
EC6.3.1.20	lipoate---protein ligase	4232	ACE	NA
PF11867.8	DUF3387	4233	ACE	NA
EC1.8.4.14	L-methionine (R)-S-oxide reductase	4234	ACE	NA
PF00076.22	RRM_1	4235	ACE	NA
EC2.3.1.239	10-deoxymethynolide synthase	4236	ACE	NA
PF13768.6	VWA_3	4237	ACE	NA
EC2.1.3.10	malonyl-S-ACP:biotin-protein carboxyltransferase	4238	ACE	NA
PF00687.21	Ribosomal_L1	4239	ACE	NA
EC3.1.3.93	L-galactose 1-phosphate phosphatase	4240	ACE	NA
PF04321.17	RmlD_sub_bind	4241	ACE	NA
EC5.1.1.18	serine racemase	4242	ACE	NA
PF13835.6	DUF4194	4243	ACE	NA
EC1.1.98.3	decaprenylphospho-beta-D-ribofuranose 2-dehydrogenase	4244	ACE	NA
PF00575.23	S1	4245	ACE	NA
EC1.4.1.24	3-dehydroquinate synthase II	4246	ACE	NA
PF05521.11	Phage_H_T_join	4247	ACE	NA
EC4.2.1.22	cystathionine beta-synthase	4248	ACE	NA
PF18676.1	MBG_2	4249	ACE	NA
EC3.5.1.97	acyl-homoserine-lactone acylase	4250	ACE	NA
PF14810.6	TGT_C2	4251	ACE	NA
EC4.1.3.38	aminodeoxychorismate lyase	4252	ACE	NA
PF17728.1	BsuBI_PstI_RE_N	4253	ACE	NA
EC3.4.24.3	microbial collagenase	4254	ACE	NA
PF07719.17	TPR_2	4255	ACE	NA
EC1.1.5.8	quinate dehydrogenase (quinone)	4256	ACE	NA
PF01663.22	Phosphodiest	4257	ACE	NA
EC3.6.1.9	nucleotide diphosphatase	4258	ACE	NA
PF13462.6	Thioredoxin_4	4259	ACE	NA
EC1.8.5.3	respiratory dimethylsulfoxide reductase	4260	ACE	NA
PF07090.11	GATase1_like	4261	ACE	NA
EC3.5.1.110	peroxyureidoacrylate/ureidoacrylate amidohydrolase	4262	ACE	NA
PF00112.23	Peptidase_C1	4263	ACE	NA
EC2.6.1.5	tyrosine transaminase	4264	ACE	NA
PF03851.14	UvdE	4265	ACE	NA
EC3.4.21.12	alpha-lytic endopeptidase	4266	ACE	NA
PF14635.6	HHH_7	4267	ACE	NA
EC4.1.2.34	4-(2-carboxyphenyl)-2-oxobut-3-enoate aldolase	4268	ACE	NA
PF00825.18	Ribonuclease_P	4269	ACE	NA
EC3.4.22.40	bleomycin hydrolase	4270	ACE	NA
PF14317.6	YcxB	4271	ACE	NA
EC1.5.1.36	flavin reductase (NADH)	4272	ACE	NA
PF08483.11	IstB_IS21_ATP	4273	ACE	NA
EC2.3.3.8	ATP citrate synthase	4274	ACE	NA
EC6.5.1.7	DNA ligase (ATP, ADP or GTP)	4275	ACE	NA
PF07364.12	DUF1485	4276	ACE	NA
PF13563.6	2_5_RNA_ligase2	4277	ACE	NA
EC4.2.1.55	3-hydroxybutyryl-CoA dehydratase	4278	ACE	NA
PF10926.8	DUF2800	4279	ACE	NA
EC2.7.4.29	Kdo2-lipid A phosphotransferase	4280	ACE	NA
PF01243.20	Putative_PNPOx	4281	ACE	NA
EC1.1.1.333	decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase	4282	ACE	NA
PF03845.13	Spore_permease	4283	ACE	NA
EC1.14.13.16	cyclopentanone monooxygenase	4284	ACE	NA
PF01174.19	SNO	4285	ACE	NA
EC3.1.1.77	acyloxyacyl hydrolase	4286	ACE	NA
PF03206.14	NifW	4287	ACE	NA
EC5.1.3.15	glucose-6-phosphate 1-epimerase	4288	ACE	NA
PF01891.16	CbiM	4289	ACE	NA
EC4.1.1.71	2-oxoglutarate decarboxylase	4290	ACE	NA
PF11987.8	IF-2	4291	ACE	NA
EC3.5.5.8	thiocyanate hydrolase	4292	ACE	NA
PF13428.6	TPR_14	4293	ACE	NA
EC2.8.4.2	arsenate-mycothiol transferase	4294	ACE	NA
PF13643.6	DUF4145	4295	ACE	NA
PF01252.18	Peptidase_A8	4296	ACE	NA
PF06259.12	Abhydrolase_8	4297	ACE	NA
PF09650.10	PHA_gran_rgn	4298	ACE	NA
PF06155.12	DUF971	4299	ACE	NA
PF14715.6	FixP_N	4300	ACE	NA
EC1.1.1.266	dTDP-4-dehydro-6-deoxyglucose reductase	4301	ACE	NA
EC2.1.1.265	tellurite methyltransferase	4302	ACE	NA
EC2.4.1.44	lipopolysaccharide 3-alpha-galactosyltransferase	4303	ACE	NA
EC2.7.1.177	L-threonine kinase	4304	ACE	NA
EC3.1.3.81	diacylglycerol diphosphate phosphatase	4305	ACE	NA
EC3.1.4.16	2',3'-cyclic-nucleotide 2'-phosphodiesterase	4306	ACE	NA
EC3.2.1.126	coniferin beta-glucosidase	4307	ACE	NA
EC3.4.13.18	cytosol nonspecific dipeptidase	4308	ACE	NA
EC3.5.1.19	nicotinamidase	4309	ACE	NA
EC3.5.1.78	glutathionylspermidine amidase	4310	ACE	NA
EC4.1.99.19	2-iminoacetate synthase	4311	ACE	NA
EC5.3.3.10	5-carboxymethyl-2-hydroxymuconate Delta-isomerase	4312	ACE	NA
PF13701.6	DDE_Tnp_1_4	4313	ACE	NA
PF12349.8	Sterol-sensing	4314	ACE	NA
PF01694.22	Rhomboid	4315	ACE	NA
PF07171.12	MlrC_C	4316	ACE	NA
PF02922.18	CBM_48	4317	ACE	NA
PF12663.7	DUF3788	4318	ACE	NA
PF01670.16	Glyco_hydro_12	4319	ACE	NA
EC3.5.3.22	proclavaminate amidinohydrolase	4320	ACE	NA
PF01396.19	zf-C4_Topoisom	4321	ACE	NA
EC2.3.1.258	N-terminal methionine Nalpha-acetyltransferase NatE	4322	ACE	NA
PF07823.11	CPDase	4323	ACE	NA
EC2.4.2.46	galactan 5-O-arabinofuranosyltransferase	4324	ACE	NA
PF13751.6	DDE_Tnp_1_6	4325	ACE	NA
EC1.3.7.1	6-hydroxynicotinate reductase	4326	ACE	NA
PF13207.6	AAA_17	4327	ACE	NA
EC1.1.1.281	GDP-4-dehydro-6-deoxy-D-mannose reductase	4328	ACE	NA
PF18722.1	MazG_C	4329	ACE	NA
EC4.2.99.21	isochorismate lyase	4330	ACE	NA
PF07291.11	MauE	4331	ACE	NA
EC3.1.3.10	glucose-1-phosphatase	4332	ACE	NA
PF14316.6	DUF4381	4333	ACE	NA
EC4.2.1.131	carotenoid 1,2-hydratase	4334	ACE	NA
PF08883.11	DOPA_dioxygen	4335	ACE	NA
EC2.6.1.103	(S)-3,5-dihydroxyphenylglycine transaminase	4336	ACE	NA
PF04191.13	PEMT	4337	ACE	NA
EC2.7.7.85	diadenylate cyclase	4338	ACE	NA
PF13662.6	Toprim_4	4339	ACE	NA
PF05610.11	DUF779	4340	ACE	NA
PF00416.22	Ribosomal_S13	4341	ACE	NA
EC2.6.1.81	succinylornithine transaminase	4342	ACE	NA
EC2.7.1.189	autoinducer-2 kinase	4343	ACE	NA
EC3.1.4.14	[acyl-carrier-protein] phosphodiesterase	4344	ACE	NA
EC3.2.2.8	ribosylpyrimidine nucleosidase	4345	ACE	NA
EC3.5.1.105	chitin disaccharide deacetylase	4346	ACE	NA
PF00079.20	Serpin	4347	ACE	NA
PF04120.12	Iron_permease	4348	ACE	NA
PF13554.6	DUF4128	4349	ACE	NA
EC4.1.99.16	geosmin synthase	4350	ACE	NA
PF11127.8	DUF2892	4351	ACE	NA
EC1.14.18.3	methane monooxygenase (particulate)	4352	ACE	NA
PF01168.20	Ala_racemase_N	4353	ACE	NA
EC3.5.1.119	Pup amidohydrolase	4354	ACE	NA
PF05729.12	NACHT	4355	ACE	NA
EC4.1.1.61	4-hydroxybenzoate decarboxylase	4356	ACE	NA
PF06988.11	NifT	4357	ACE	NA
EC6.3.4.14	biotin carboxylase	4358	ACE	NA
PF10009.9	DUF2252	4359	ACE	NA
EC4.1.1.2	oxalate decarboxylase	4360	ACE	NA
PF02018.17	CBM_4_9	4361	ACE	NA
EC1.3.98.1	dihydroorotate dehydrogenase (fumarate)	4362	ACE	NA
PF13154.6	DUF3991	4363	ACE	NA
EC1.1.1.306	S-(hydroxymethyl)mycothiol dehydrogenase	4364	ACE	NA
PF01535.20	PPR	4365	ACE	NA
EC6.2.1.42	3-oxocholest-4-en-26-oate---CoA ligase	4366	ACE	NA
PF07479.14	NAD_Gly3P_dh_C	4367	ACE	NA
EC3.1.1.102	mono(ethylene terephthalate) hydrolase	4368	ACE	NA
PF01875.17	Memo	4369	ACE	NA
EC2.4.99.13	(Kdo)-lipid IVA 3-deoxy-D-manno-octulosonic acid transferase	4370	ACE	NA
EC2.7.1.85	beta-glucoside kinase	4371	ACE	NA
PF09856.9	DUF2083	4372	ACE	NA
PF05258.12	DciA	4373	ACE	NA
PF06050.13	HGD-D	4374	ACE	NA
PF02537.15	CRCB	4375	ACE	NA
PF12147.8	Methyltransf_20	4376	ACE	NA
EC2.4.1.180	lipopolysaccharide N-acetylmannosaminouronosyltransferase	4377	ACE	NA
EC2.7.1.184	sulfofructose kinase	4378	ACE	NA
EC2.7.1.194	protein-Npi-phosphohistidine---L-ascorbate phosphotransferase	4379	ACE	NA
EC2.7.1.206	protein-Npi-phosphohistidine---L-sorbose phosphotransferase	4380	ACE	NA
EC3.1.3.22	mannitol-1-phosphatase	4381	ACE	NA
EC3.1.3.27	phosphatidylglycerophosphatase	4382	ACE	NA
EC3.6.1.26	CDP-diacylglycerol diphosphatase	4383	ACE	NA
EC6.3.1.8	glutathionylspermidine synthase	4384	ACE	NA
PF03786.13	UxuA	4385	ACE	NA
PF01458.17	UPF0051	4386	ACE	NA
PF02485.21	Branch	4387	ACE	NA
PF04349.12	MdoG	4388	ACE	NA
PF13424.6	TPR_12	4389	ACE	NA
EC2.3.1.210	dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase	4390	ACE	NA
PF07484.12	Collar	4391	ACE	NA
EC1.16.1.3	aquacobalamin reductase	4392	ACE	NA
PF00975.20	Thioesterase	4393	ACE	NA
EC2.3.1.242	Kdo2-lipid IVA palmitoleoyltransferase	4394	ACE	NA
EC2.4.1.325	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase	4395	ACE	NA
PF15731.5	MqsA_antitoxin	4396	ACE	NA
PF15780.5	ASH	4397	ACE	NA
EC3.6.1.65	(d)CTP diphosphatase	4398	ACE	NA
PF16976.5	RcpC	4399	ACE	NA
EC3.4.21.83	oligopeptidase B	4400	ACE	NA
PF04383.13	KilA-N	4401	ACE	NA
EC4.2.1.85	dimethylmaleate hydratase	4402	ACE	NA
PF04108.12	APG17	4403	ACE	NA
EC1.1.1.346	2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming)	4404	ACE	NA
PF17384.2	DUF150_C	4405	ACE	NA
EC2.4.1.250	D-inositol-3-phosphate glycosyltransferase	4406	ACE	NA
PF05405.14	Mt_ATP-synt_B	4407	ACE	NA
PF01447.18	Peptidase_M4	4408	ACE	NA
PF10142.9	PhoPQ_related	4409	ACE	NA
EC1.13.11.12	linoleate 13S-lipoxygenase	4410	ACE	NA
EC1.14.13.182	2-heptyl-3-hydroxy-4(1H)-quinolone synthase	4411	ACE	NA
EC3.4.17.13	muramoyltetrapeptide carboxypeptidase	4412	ACE	NA
EC3.4.21.50	lysyl endopeptidase	4413	ACE	NA
EC3.4.24.26	pseudolysin	4414	ACE	NA
EC4.2.1.91	arogenate dehydratase	4415	ACE	NA
PF14088.6	DUF4268	4416	ACE	NA
PF03537.13	Glyco_hydro_114	4417	ACE	NA
PF03222.13	Trp_Tyr_perm	4418	ACE	NA
PF17929.1	TetR_C_34	4419	ACE	NA
EC2.4.1.287	rhamnopyranosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,4/1,5-galactofuranosyltransferase	4420	ACE	NA
PF02190.16	LON_substr_bdg	4421	ACE	NA
EC5.4.99.19	16S rRNA pseudouridine516 synthase	4422	ACE	NA
PF03965.16	Penicillinase_R	4423	ACE	NA
EC3.5.2.12	6-aminohexanoate-cyclic-dimer hydrolase	4424	ACE	NA
PF10371.9	EKR	4425	ACE	NA
EC1.14.13.142	3-ketosteroid 9alpha-monooxygenase	4426	ACE	NA
PF01326.19	PPDK_N	4427	ACE	NA
EC1.13.12.9	phenylalanine 2-monooxygenase	4428	ACE	NA
PF05926.11	Phage_GPL	4429	ACE	NA
EC1.3.7.9	4-hydroxybenzoyl-CoA reductase	4430	ACE	NA
PF09867.9	TagF_N	4431	ACE	NA
EC3.2.2.10	pyrimidine-5'-nucleotide nucleosidase	4432	ACE	NA
PF04951.13	Peptidase_M55	4433	ACE	NA
EC1.3.7.11	2,3-bis-O-geranylgeranyl-sn-glycero-phospholipid reductase	4434	ACE	NA
PF13788.6	DUF4180	4435	ACE	NA
EC1.14.14.18	heme oxygenase (biliverdin-producing)	4436	ACE	NA
PF10054.9	DUF2291	4437	ACE	NA
EC1.14.15.9	spheroidene monooxygenase	4438	ACE	NA
PF07332.11	Phage_holin_3_6	4439	ACE	NA
EC1.3.1.72	Delta24-sterol reductase	4440	ACE	NA
PF03454.15	MoeA_C	4441	ACE	NA
EC3.6.1.45	UDP-sugar diphosphatase	4442	ACE	NA
PF09707.10	Cas_Cas2CT1978	4443	ACE	NA
EC3.4.24.64	mitochondrial processing peptidase	4444	ACE	NA
PF14595.6	Thioredoxin_9	4445	ACE	NA
EC1.14.19.4	acyl-lipid (11-3)-desaturase	4446	ACE	NA
PF03253.14	UT	4447	ACE	NA
EC4.1.2.52	4-hydroxy-2-oxoheptanedioate aldolase	4448	ACE	NA
PF16896.5	PGDH_C	4449	ACE	NA
EC1.3.99.38	menaquinone-9 beta-reductase	4450	ACE	NA
PF08765.11	Mor	4451	ACE	NA
EC2.1.1.188	23S rRNA (guanine748-N1)-methyltransferase	4452	ACE	NA
PF13574.6	Reprolysin_2	4453	ACE	NA
EC1.17.8.1	hydroxysqualene dehydroxylase	4454	ACE	NA
PF12462.8	Helicase_IV_N	4455	ACE	NA
EC2.4.1.17	glucuronosyltransferase	4456	ACE	NA
PF02010.15	REJ	4457	ACE	NA
EC2.1.1.266	23S rRNA (adenine2030-N6)-methyltransferase	4458	ACE	NA
PF09917.9	DUF2147	4459	ACE	NA
EC1.97.1.9	selenate reductase	4460	ACE	NA
PF13628.6	DUF4142	4461	ACE	NA
EC3.1.1.53	sialate O-acetylesterase	4462	ACE	NA
PF07883.11	Cupin_2	4463	ACE	NA
EC1.3.1.19	cis-1,2-dihydrobenzene-1,2-diol dehydrogenase	4464	ACE	NA
PF17680.1	FlgO	4465	ACE	NA
EC2.7.7.53	ATP adenylyltransferase	4466	ACE	NA
PF01028.20	Topoisom_I	4467	ACE	NA
EC3.1.3.78	phosphatidylinositol-4,5-bisphosphate 4-phosphatase	4468	ACE	NA
PF13176.6	TPR_7	4469	ACE	NA
EC2.7.1.166	3-deoxy-D-manno-octulosonic acid kinase	4470	ACE	NA
PF14502.6	HTH_41	4471	ACE	NA
EC1.1.1.292	1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming)	4472	ACE	NA
PF00982.21	Glyco_transf_20	4473	ACE	NA
EC1.7.3.3	factor-independent urate hydroxylase	4474	ACE	NA
PF17837.1	4PPT_N	4475	ACE	NA
EC2.1.1.n8	NA	4476	ACE	NA
PF04548.16	AIG1	4477	ACE	NA
EC4.6.1.15	FAD-AMP lyase (cyclizing)	4478	ACE	NA
PF01434.18	Peptidase_M41	4479	ACE	NA
EC2.4.1.278	3-alpha-mycarosylerythronolide B desosaminyl transferase	4480	ACE	NA
PF05929.11	Phage_GPO	4481	ACE	NA
EC2.1.1.233	[phosphatase 2A protein]-leucine-carboxy methyltransferase	4482	ACE	NA
PF06935.11	DUF1284	4483	ACE	NA
EC3.2.1.38	beta-D-fucosidase	4484	ACE	NA
PF13098.6	Thioredoxin_2	4485	ACE	NA
EC5.3.3.1	steroid Delta-isomerase	4486	ACE	NA
PF17938.1	TetR_C_29	4487	ACE	NA
EC2.3.1.233	1,3,6,8-tetrahydroxynaphthalene synthase	4488	ACE	NA
PF10923.8	DUF2791	4489	ACE	NA
EC4.2.3.152	2-epi-5-epi-valiolone synthase	4490	ACE	NA
PF00491.21	Arginase	4491	ACE	NA
EC3.11.1.3	phosphonopyruvate hydrolase	4492	ACE	NA
PF01477.23	PLAT	4493	ACE	NA
EC1.1.1.159	7alpha-hydroxysteroid dehydrogenase	4494	ACE	NA
PF13195.6	DUF4011	4495	ACE	NA
EC1.14.14.12	3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase	4496	ACE	NA
PF03255.14	ACCA	4497	ACE	NA
EC1.5.1.21	1-piperideine-2-carboxylate/1-pyrroline-2-carboxylate reductase (NADPH)	4498	ACE	NA
PF01609.21	DDE_Tnp_1	4499	ACE	NA
EC1.2.5.3	aerobic carbon monoxide dehydrogenase	4500	ACE	NA
PF10711.9	DUF2513	4501	ACE	NA
EC1.1.1.153	sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)	4502	ACE	NA
PF13612.6	DDE_Tnp_1_3	4503	ACE	NA
EC4.1.1.64	2,2-dialkylglycine decarboxylase (pyruvate)	4504	ACE	NA
PF02233.16	PNTB	4505	ACE	NA
EC5.2.1.4	maleylpyruvate isomerase	4506	ACE	NA
PF10087.9	DUF2325	4507	ACE	NA
EC2.4.2.47	arabinofuranan 3-O-arabinosyltransferase	4508	ACE	NA
PF07017.11	PagP	4509	ACE	NA
EC2.1.1.101	macrocin O-methyltransferase	4510	ACE	NA
PF13529.6	Peptidase_C39_2	4511	ACE	NA
EC2.4.1.264	D-Man-alpha-(1->3)-D-Glc-beta-(1->4)-D-Glc-alpha-1-diphosphoundecaprenol 2-beta-glucuronosyltransferase	4512	ACE	NA
PF01982.16	CTP-dep_RFKase	4513	ACE	NA
EC1.14.19.2	stearoyl-[acyl-carrier-protein] 9-desaturase	4514	ACE	NA
PF01301.19	Glyco_hydro_35	4515	ACE	NA
EC3.2.1.101	mannan endo-1,6-alpha-mannosidase	4516	ACE	NA
PF09317.11	DUF1974	4517	ACE	NA
EC2.3.1.5	arylamine N-acetyltransferase	4518	ACE	NA
PF10516.9	SHNi-TPR	4519	ACE	NA
EC4.1.1.36	phosphopantothenoylcysteine decarboxylase	4520	ACE	NA
PF05958.11	tRNA_U5-meth_tr	4521	ACE	NA
EC1.4.3.2	L-amino-acid oxidase	4522	ACE	NA
PF00782.20	DSPc	4523	ACE	NA
EC1.8.7.1	assimilatory sulfite reductase (ferredoxin)	4524	ACE	NA
PF06629.12	MipA	4525	ACE	NA
EC2.5.1.87	ditrans,polycis-polyprenyl diphosphate synthase [(2E,6E)-farnesyl diphosphate specific]	4526	ACE	NA
PF09450.10	DUF2019	4527	ACE	NA
EC3.1.11.1	exodeoxyribonuclease I	4528	ACE	NA
PF04539.16	Sigma70_r3	4529	ACE	NA
EC5.1.1.15	2-aminohexano-6-lactam racemase	4530	ACE	NA
PF08889.11	WbqC	4531	ACE	NA
EC3.1.4.54	N-acetylphosphatidylethanolamine-hydrolysing phospholipase D	4532	ACE	NA
PF05573.12	NosL	4533	ACE	NA
EC1.7.2.2	nitrite reductase (cytochrome	4534	ACE	NA
PF00166.21	Cpn10	4535	ACE	NA
EC1.17.3.2	xanthine oxidase	4536	ACE	NA
PF03951.19	Gln-synt_N	4537	ACE	NA
EC2.8.2.37	trehalose 2-sulfotransferase	4538	ACE	NA
PF09980.9	DUF2214	4539	ACE	NA
EC2.3.1.122	trehalose O-mycolyltransferase	4540	ACE	NA
PF02560.14	Cyanate_lyase	4541	ACE	NA
EC2.4.1.302	L-demethylnoviosyl transferase	4542	ACE	NA
PF09059.10	TyeA	4543	ACE	NA
EC5.5.1.4	inositol-3-phosphate synthase	4544	ACE	NA
PF04267.12	SoxD	4545	ACE	NA
EC2.7.1.209	L-erythrulose 1-kinase	4546	ACE	NA
PF06776.12	IalB	4547	ACE	NA
EC3.5.4.39	GTP cyclohydrolase IV	4548	ACE	NA
PF14709.7	DND1_DSRM	4549	ACE	NA
EC3.2.1.164	galactan endo-1,6-beta-galactosidase	4550	ACE	NA
PF02089.15	Palm_thioest	4551	ACE	NA
EC2.5.1.86	trans,polycis-decaprenyl diphosphate synthase	4552	ACE	NA
PF07554.13	FIVAR	4553	ACE	NA
EC2.1.1.44	L-histidine Nalpha-methyltransferase	4554	ACE	NA
PF04677.15	CwfJ_C_1	4555	ACE	NA
EC2.1.1.4	acetylserotonin O-methyltransferase	4556	ACE	NA
PF12797.7	Fer4_2	4557	ACE	NA
EC2.4.1.288	galactofuranosylgalactofuranosylrhamnosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,5/1,6-galactofuranosyltransferase	4558	ACE	NA
PF09811.9	Yae1_N	4559	ACE	NA
EC3.4.21.111	aqualysin 1	4560	ACE	NA
PF01258.17	zf-dskA_traR	4561	ACE	NA
EC1.14.13.38	anhydrotetracycline 6-monooxygenase	4562	ACE	NA
PF04954.13	SIP	4563	ACE	NA
EC2.1.1.210	demethylspheroidene O-methyltransferase	4564	ACE	NA
PF01262.21	AlaDh_PNT_C	4565	ACE	NA
EC1.1.3.48	3-deoxy-alpha-D-manno-octulosonate 8-oxidase	4566	ACE	NA
EC2.6.1.109	8-amino-3,8-dideoxy-alpha-D-manno-octulosonate transaminase	4567	ACE	NA
PF07152.12	YaeQ	4568	ACE	NA
PF01469.18	Pentapeptide_2	4569	ACE	NA
EC5.1.3.22	L-ribulose-5-phosphate 3-epimerase	4570	ACE	NA
PF14789.6	THDPS_M	4571	ACE	NA
EC2.4.1.217	mannosyl-3-phosphoglycerate synthase	4572	ACE	NA
PF04279.15	IspA	4573	ACE	NA
EC2.1.3.9	N-acetylornithine carbamoyltransferase	4574	ACE	NA
PF03022.16	MRJP	4575	ACE	NA
EC5.3.3.8	Delta3-Delta2-enoyl-CoA isomerase	4576	ACE	NA
PF00745.20	GlutR_dimer	4577	ACE	NA
EC1.1.1.n11	NA	4578	ACE	NA
PF12728.7	HTH_17	4579	ACE	NA
EC2.3.1.165	6-methylsalicylic-acid synthase	4580	ACE	NA
PF01844.23	HNH	4581	ACE	NA
EC2.4.1.345	phosphatidyl-myo-inositol alpha-mannosyltransferase	4582	ACE	NA
PF14701.6	hDGE_amylase	4583	ACE	NA
EC1.3.5.3	protoporphyrinogen IX dehydrogenase (menaquinone)	4584	ACE	NA
PF04448.12	DUF551	4585	ACE	NA
EC2.7.1.198	protein-Npi-phosphohistidine---D-sorbitol phosphotransferase	4586	ACE	NA
PF06764.11	DUF1223	4587	ACE	NA
EC4.2.3.7	pentalenene synthase	4588	ACE	NA
PF00929.24	RNase_T	4589	ACE	NA
EC1.2.1.30	carboxylate reductase (NADP+)	4590	ACE	NA
PF09012.10	FeoC	4591	ACE	NA
EC1.18.1.7	ferredoxin---NAD(P)+ reductase (naphthalene dioxygenase ferredoxin-specific)	4592	ACE	NA
PF11583.8	AurF	4593	ACE	NA
